Type,Number,Latitude_DDMMSS,Longitude_DDMMSS
LFA,23,48 03 18,66 19 21
LFA,23,48 01 30,65 50 00
LFA,23,47 51 42,65 29 10
LFA,23,47 57 45,65 03 30
LFA,23,48 12 15,64 30 00
LFA,23,48 12 15,64 02 10
LFA,23,47 08 25,64 02 10
LFA,23,47 00 48,64 49 40
LFA,23,46.85927,65.56574
LFA,23,48.0581,66.44461
LFA,23,48 03 18,66 19 21
LFA,24,47 03 27.7,63 59 48.8
LFA,24,47 08 25,64 02 10
LFA,24,47 02 18,60 45 00
LFA,24,46 37 30,61 30 15
LFA,24,46 27 52,61 51 06
LFA,24,46 26 55,61 58 25
LFA,24,46.36176,62.523055
LFA,24,46.236459,62.973614
LFA,24,46.386323,62.852179
LFA,24,46.281972,63.379663
LFA,24,46.39959,63.706594
LFA,24,46.450731,64.025282
LFA,24,46.666132,64.011546
LFA,24,46.692526,64.280782
LFA,24,47 03 27.7,63 59 48.8
LFA,25,47 00 48,64 49 40
LFA,25,47 08 25,64 02 10
LFA,25,47 03 27.7,63 59 48.8
LFA,25,46.709266,64.258292
LFA,25,46.618747,63.967077
LFA,25,46.433467,64.000044
LFA,25,46.391787,63.648388
LFA,25,46 12 58,63 29 26
LFA,25,46 10 35,63 28 03
LFA,25,45 51 45,63 42 42
LFA,25,45.812579,63.972571
LFA,25,46.403158,65.192379
LFA,25,46.923641,65.137433
LFA,25,47 00 48,64 49 40
LFA,26A,45 51 45,63 42 42
LFA,26A,46 10 35,63 28 03
LFA,26A,46 12 58,63 29 26
LFA,26A,46.382772,62.825003
LFA,26A,46.386563,62.492578
LFA,26A,46 26 55,61 58 25
LFA,26A,46 27 52,61 51 06
LFA,26A,46 37 30,61 30 15
LFA,26A,46 09 00,61 57 00
LFA,26A,45 50 00,61 40 00
LFA,26A,45 43 42,61 30 42
LFA,26A,45 38 30,61 24 15
LFA,26A,45 38 10,61 25 45
LFA,26A,45 41 30,61 29 20
LFA,26A,45.381383,62.700943
LFA,26A,45 51 45,63 42 42
LFA,26B,45 38 10,61 25 45
LFA,26B,45 43 42,61 30 42
LFA,26B,45 50 00,61 40 00
LFA,26B,46 09 00,61 57 00
LFA,26B,46 37 30,61 30 15
LFA,26B,47 02 18,60 45 00
LFA,26B,46 58 42,60 40 00
LFA,26B,45 38 10,61 25 45
SFA,16E,50 12 30,63 26 30
SFA,16E,50 00 00,63 26 30
SFA,16E,50 04 30,64 12 00
SFA,16E,50 16 00,64 12 00
SFA,16E,50.452082,63.759754
SFA,16E,50.252398,63.423774
SFA,16E,50 12 30,63 26 30
SFA,16F,50 17 00,62 54 00
SFA,16F,49 57 00,62 54 00
SFA,16F,50 00 00,63 26 30
SFA,16F,50 12 30,63 26 30
SFA,16F,50.460533,63.266087
SFA,16F,50 17 00,62 54 00
SFA,18A,49 51 30,65 00 00
SFA,18A,50 05 00,64 20 30
SFA,18A,50 04 30,64 12 00
SFA,18A,50 00 00,63 26 30
SFA,18A,49 57 00,62 54 00
SFA,18A,49 56 00,62 42 00
SFA,18A,49 39 30,62 42 00
SFA,18A,49.647696,63.390606
SFA,18A,49.880216,64.448322
SFA,18A,49 48 00,64 23 00
SFA,18A,49 44 00,64 51 00
SFA,18A,49 51 30,65 00 00
SFA,20,48 12 15,64 02 10
SFA,20,48 21 00,63 32 00
SFA,20,48 30 00,63 00 00
SFA,20,48 20 00,62 15 30
SFA,20,47 50 00,60 00 00
SFA,20,47 02 18,60 45 00
SFA,20,47 08 25,64 02 10
SFA,20,47 39 00,64 02 10
SFA,20,48 12 15,64 02 10
SFA,21A,48 04 15,66 22 08
SFA,21A,48 05 04,66 21 30
SFA,21A,48 03 16,66 19 21
SFA,21A,48 01 30,65 50 00
SFA,21A,47 51 42,65 29 10
SFA,21A,47 57 45,65 03 30
SFA,21A,47 49 45,65 03 30
SFA,21A,47.516927,65.649315
SFA,21A,48.02258,66.49484
SFA,21A,48 04 15,66 22 08
SFA,21B,47 49 45,65 03 30
SFA,21B,47 57 45,65 03 30
SFA,21B,48 12 15,64 30 00
SFA,21B,48 12 15,64 02 10
SFA,21B,47 39 00,64 02 10
SFA,21B,47 44 00,64 37 50
SFA,21B,47.707607,64.700927
SFA,21B,47.737184,65.145992
SFA,21B,47 49 45,65 03 30
SFA,21C,47 44 00,64 37 50
SFA,21C,47 39 00,64 02 10
SFA,21C,47 08 25,64 02 10
SFA,21C,47 00 48,64 49 40
SFA,21C,46.882205,65.648743
SFA,21C,47.702245,65.145984
SFA,21C,47.71502,64.849024
SFA,21C,47.690979,64.769352
SFA,21C,47.709473,64.695174
SFA,21C,47 44 00,64 37 50
SFA,22,47 00 48,64 49 40
SFA,22,47 08 25,64 02 10
SFA,22,47 03 15,64 00 00
SFA,22,46.701729,64.258292
SFA,22,46.641391,63.961582
SFA,22,46.441042,64.022023
SFA,22,46.387996,63.522012
SFA,22,46 12 58,63 29 26
SFA,22,46 10 35,63 28 03
SFA,22,45 51 45,63 42 42
SFA,22,46.053384,64.483572
SFA,22,46.69796,65.390185
SFA,22,47 00 48,64 49 40
SFA,23,47 03 15,64 00 00
SFA,23,47 08 25,64 02 10
SFA,23,47 02 18,60 45 00
SFA,23,46 27 52,61 51 06
SFA,23,46 26 55,61 58 25
SFA,23,46.36176,62.523055
SFA,23,46.236459,62.973614
SFA,23,46.386323,62.852179
SFA,23,46.281972,63.379663
SFA,23,46.39959,63.706594
SFA,23,46.450731,64.025282
SFA,23,46.666132,64.011546
SFA,23,46.692526,64.280782
SFA,23,47 03 15,64 00 00
SFA,24,45 51 45,63 42 42
SFA,24,46 10 35,63 28 03
SFA,24,46 12 58,63 29 26
SFA,24,46.333566,63.286598
SFA,24,46.371499,62.750872
SFA,24,46 26 55,61 58 25
SFA,24,46 27 52,61 51 06
SFA,24,47 02 18,60 45 00
SFA,24,46 58 42,60 40 00
SFA,24,46.020646,61.084901
SFA,24,45 38 30,61 24 15
SFA,24,45 38 10,61 25 45
SFA,24,45.473421,62.920873
SFA,24,45 51 45,63 42 42
LFA,17,49 25 00,60 00 00
LFA,17,47 50 00,60 00 00
LFA,17,48 30 00,63 00 00
LFA,17,49 01 30,63 46 00
LFA,17,49 13 30,64 05 00
LFA,17,49 36 30,64 37 30
LFA,17,49 51 30,65 00 00
LFA,17,49 59 54,64 38 00
LFA,17,50 06 30,64 20 30
LFA,17,50 03 25,63 40 00
LFA,17,49 59 38,62 54 00
LFA,17,49 52 54,61 32 42
LFA,17,49 50 30,61 16 00
LFA,17,49 25 00,60 00 00
LFA,"19, 20, 21",46 56 06,70 44 11
LFA,"19, 20, 21",47 02 57,70 48 40
LFA,"19, 20, 21",48.858839,71.087225
LFA,"19, 20, 21",48 08 06,69 42 03
LFA,"19, 20, 21",48 02 30,69 35 30
LFA,"19, 20, 21",48 27 00,69 00 00
LFA,"19, 20, 21",48 56 34,67 40 09
LFA,"19, 20, 21",49 09 45,67 11 00
LFA,"19, 20, 21",49 24 05,66 22 00
LFA,"19, 20, 21",49 34 04,65 52 39
LFA,"19, 20, 21",49 46 05,65 16 33
LFA,"19, 20, 21",49 51 30,65 00 00
LFA,"19, 20, 21",49 40 30,64 44 00
LFA,"19, 20, 21",49 36 30,64 37 30
LFA,"19, 20, 21",49 13 30,64 05 00
LFA,"19, 20, 21",49 01 30,63 46 00
LFA,"19, 20, 21",48 30 00,63 00 00
LFA,"19, 20, 21",48 12 15,64 02 10
LFA,"19, 20, 21",48 12 15,64 30 00
LFA,"19, 20, 21",47 57 45,65 03 30
LFA,"19, 20, 21",47 51 42,65 29 10
LFA,"19, 20, 21",48 01 30,65 50 00
LFA,"19, 20, 21",48 01 47,65 54 10
LFA,"19, 20, 21",48 03 16,66 19 21
LFA,"19, 20, 21",48 05 04,66 21 30
